EndToEndId;DataHora;Valor;Moeda;Pagador_Nome;Pagador_CPF_CNPJ;Pagador_Banco;Recebedor_Nome;Recebedor_CPF_CNPJ;Recebedor_Banco;ChavePix_Utilizada;TipoChave;Descricao;Status;Anomalia
ed472599-2df4-409f-acd5-8b90c125d9c2;2025-08-10 12:03:56;659.67;BRL;Otávio Castro;125.417.813-81;Banco Safra;Ana Laura Monteiro;426.666.425-98;Nubank;user525@email.com;E-mail;Pagamento referente ao serviço 958;Estornada;0
48f3fb9e-398e-492f-80cc-bc613186f4d9;2025-07-07 10:58:56;3860.09;BRL;Davi Lucas Duarte;80.384.423/0001-15;Caixa Econômica Federal;Daniel Nascimento;614.800.804-18;C6 Bank;544.175.695-41;CPF;Pagamento referente ao serviço 360;Estornada;0
9a8f49bd-d2a4-4ff8-9534-a783ae2e5cca;2025-08-06 04:41:56;385.28;BRL;Benjamin Novaes;495.794.721-64;Banco Safra;Clara Ribeiro;320.561.956-69;Banco Safra;+552395541-4557;Telefone;Pagamento referente ao serviço 259;Concluída;0
bd291e91-ca14-453a-a836-6a5f60dbb3bf;2025-08-15 22:22:56;556.44;BRL;Sophie Carvalho;51.216.757/0001-33;Santander Brasil;Cecília Cavalcanti;66.958.606/0001-34;BTG Pactual;3a602237-4349-4805-9fe2-4a29d3d533d0;Chave Aleatória;Pagamento referente ao serviço 66;Pendente;0
f9f6723d-4d4d-4eb6-90c7-051a32ff20a7;2025-07-29 19:57:56;1926.47;BRL;João Miguel da Mata;477.441.701-79;Banco Pan;Sophia Peixoto;882.326.714-14;Caixa Econômica Federal;+556991143-7393;Telefone;Pagamento referente ao serviço 68;Estornada;0
73d97837-011f-4bfe-a88c-918bd59d46cf;2025-06-23 03:53:56;271.29;BRL;João Miguel Azevedo;29.186.424/0001-93;BTG Pactual;Sr. Vinicius Almeida;305.288.633-60;C6 Bank;44.798.861/0001-49;CNPJ;Pagamento referente ao serviço 593;Estornada;0
82c90be8-1d70-41e2-9293-b87a34619116;2025-07-11 03:41:56;2513.43;BRL;Sra. Natália Duarte;98.387.620/0001-78;Banco Pan;Alexandre da Paz;367.447.177-86;Banco do Brasil;+559099639-8612;Telefone;Pagamento referente ao serviço 670;Concluída;0
4f13303b-aa9d-434d-a089-883e34b5fe6a;2025-07-26 15:24:56;3887.25;BRL;Ana Sophia Caldeira;679.179.916-37;Banco Pan;Pedro Henrique Fogaça;428.282.977-33;BTG Pactual;+553691238-7578;Telefone;Pagamento referente ao serviço 810;Concluída;0
ffd3016e-cf9c-4a90-8220-234c508f745a;2025-07-11 06:26:56;219.67;BRL;Levi Gonçalves;40.749.387/0001-68;Nubank;Maria Alice Oliveira;80.287.941/0001-14;Banco do Brasil;+557093466-4090;Telefone;Pagamento referente ao serviço 63;Pendente;0
7ac5c133-908e-41e9-897b-f16f3611a4c1;2025-06-25 22:18:56;4239.86;BRL;Luiza Pereira;11.294.316/0001-31;Itaú Unibanco;Bárbara Lopes;94.318.314/0001-38;BTG Pactual;54.508.379/0001-62;CNPJ;Pagamento referente ao serviço 143;Estornada;0
18696ac5-4999-4df4-afc9-094b22615da5;2025-08-14 17:16:56;2490.62;BRL;Kamilly Moura;42.944.246/0001-50;Santander Brasil;Pietro Nascimento;10.519.854/0001-39;C6 Bank;434.513.736-38;CPF;Pagamento referente ao serviço 532;Pendente;0
5f073d18-6de2-4d65-a44a-32cc0310b701;2025-07-01 23:43:56;2823.63;BRL;Maria Cecília Lopes;765.649.308-94;Nubank;Ana Júlia Freitas;82.549.394/0001-63;Santander Brasil;+551597873-5978;Telefone;Pagamento referente ao serviço 78;Estornada;0
fb2f3371-fe34-41fb-8b12-90d56b037564;2025-07-04 16:24:56;1574.55;BRL;Breno Fogaça;588.801.509-76;Banco do Brasil;Davi Alves;701.567.671-27;Santander Brasil;283.738.650-52;CPF;Pagamento referente ao serviço 167;Pendente;0
c66f9b3f-06be-44bd-830e-5a7fb84cd237;2025-08-13 02:21:56;2270.49;BRL;Ana Carolina Freitas;21.459.435/0001-50;Banco Original;Renan Cunha;781.600.609-97;Itaú Unibanco;73.494.177/0001-42;CNPJ;Pagamento referente ao serviço 777;Concluída;0
d35cd1d0-4ea5-4159-98fe-78a97402ea1e;2025-07-18 18:56:56;2250.29;BRL;Srta. Ana Luiza Silva;929.314.228-34;BTG Pactual;Gabrielly da Costa;49.756.814/0001-90;Itaú Unibanco;user398@email.com;E-mail;Pagamento referente ao serviço 764;Pendente;0
a7606863-4e36-4116-8834-821c73c664e6;2025-08-02 13:23:56;4647.94;BRL;Theo Lima;86.572.131/0001-15;C6 Bank;Luiz Otávio Azevedo;913.207.909-84;BTG Pactual;90.402.730/0001-85;CNPJ;Pagamento referente ao serviço 115;Pendente;0
46a45f78-4952-4e47-928f-a1dce14a9be5;2025-06-24 04:39:56;2968.68;BRL;Emanuel da Rosa;46.498.787/0001-54;Itaú Unibanco;Pedro Barros;24.559.671/0001-12;BTG Pactual;499.781.456-23;CPF;Pagamento referente ao serviço 754;Pendente;0
93e447f9-847f-4b14-9599-8df2d6b34f42;2025-07-06 02:51:56;3427.16;BRL;Eloah Silva;97.772.941/0001-93;C6 Bank;Julia Porto;366.638.909-95;Nubank;861.594.721-54;CPF;Pagamento referente ao serviço 725;Estornada;0
3da33ef3-a86c-4f16-8652-8ea6a96c1dfb;2025-06-24 17:44:56;4768.6;BRL;Miguel Gonçalves;510.229.646-15;Banco Inter;Sra. Raquel da Mota;68.433.885/0001-32;C6 Bank;82.173.752/0001-47;CNPJ;Pagamento referente ao serviço 795;Pendente;0
62bfb808-7eea-4d73-8975-ccf4736674bf;2025-08-07 15:46:56;347.9;BRL;Sophia Novaes;217.420.291-24;C6 Bank;Natália Ferreira;247.125.152-56;Nubank;+559599978-4756;Telefone;Pagamento referente ao serviço 574;Estornada;0
69accadf-bda3-4749-b41a-d97c354f9e23;2025-07-15 20:39:56;4107.32;BRL;Calebe Porto;884.705.145-46;Banco Original;Sr. Anthony Azevedo;681.471.705-86;Banco Inter;user722@email.com;E-mail;Pagamento referente ao serviço 704;Concluída;0
f4498239-af09-4ada-8364-e6004da41d60;2025-06-21 21:47:56;1971.72;BRL;Lívia Farias;969.891.943-62;BTG Pactual;Ana Cardoso;70.869.595/0001-67;BTG Pactual;+551597299-4192;Telefone;Pagamento referente ao serviço 968;Estornada;0
700bda73-02c9-4182-9c3a-061e7a548e6a;2025-07-08 18:22:56;4757.82;BRL;Srta. Stephany Nunes;67.237.257/0001-14;BTG Pactual;Evelyn Vieira;594.140.424-92;Bradesco;user508@email.com;E-mail;Pagamento referente ao serviço 853;Concluída;0
b6bd7fde-3def-46f5-891e-7f625a093299;2025-07-18 14:45:56;1574.75;BRL;Olivia Barros;761.679.869-71;BTG Pactual;Milena Freitas;96.312.692/0001-29;Banco Original;918.957.768-92;CPF;Pagamento referente ao serviço 51;Concluída;0
a4dfb81d-adbd-4d1e-8940-fdca3cc296df;2025-08-12 14:31:56;1556.18;BRL;Nathan da Rosa;67.243.325/0001-22;Santander Brasil;Yuri Mendes;198.516.597-84;BTG Pactual;711.524.886-20;CPF;Pagamento referente ao serviço 952;Pendente;0
34601679-4a49-4091-9774-926d2ed59044;2025-08-11 07:11:56;4004.51;BRL;Clara da Rosa;56.554.744/0001-30;Banco Inter;Davi Lucas das Neves;153.809.474-50;Caixa Econômica Federal;user653@email.com;E-mail;Pagamento referente ao serviço 675;Estornada;0
d2470535-0903-438c-b641-10f583560ca3;2025-08-08 09:13:56;1214.43;BRL;Thomas Almeida;52.967.361/0001-73;Itaú Unibanco;Rafael Moreira;32.138.576/0001-66;Banco Original;e660f5f9-81f6-46fe-8dad-58fe6d83d6a3;Chave Aleatória;Pagamento referente ao serviço 794;Concluída;0
80bb8b6e-05bb-4e2b-98ac-0f9bbd6e8fa2;2025-07-29 05:50:56;4947.29;BRL;Srta. Maria Julia Ramos;75.997.767/0001-12;Caixa Econômica Federal;Thales Cardoso;47.133.309/0001-44;Itaú Unibanco;user21@email.com;E-mail;Pagamento referente ao serviço 661;Concluída;0
1369aada-4fe1-4c1e-a2e8-80f861d7f448;2025-06-29 09:36:56;4020.89;BRL;Paulo Rodrigues;151.503.777-28;Santander Brasil;Maria Cecília Duarte;15.502.948/0001-16;Banco Safra;369.217.153-75;CPF;Pagamento referente ao serviço 606;Estornada;0
45c68242-b239-43b6-90fa-f0ea2c215252;2025-07-22 11:52:56;2174.22;BRL;Letícia da Conceição;13.263.842/0001-13;Banco Inter;Calebe Ribeiro;371.295.270-10;Nubank;665.501.598-80;CPF;Pagamento referente ao serviço 727;Estornada;0
402c05c8-2886-4ac2-9dd3-53bd215b3104;2025-07-10 00:40:56;55.48;BRL;Luna Sales;147.483.815-12;Banco Pan;Maysa das Neves;44.619.852/0001-18;Nubank;f2e5f307-af65-4ae5-a3de-31d218bbc5f6;Chave Aleatória;Pagamento referente ao serviço 388;Pendente;0
f4c42891-9c7e-4070-9233-89fe3091a6d6;2025-07-21 11:59:56;1770.54;BRL;Eloah Barros;57.384.664/0001-13;Banco Safra;Diego Oliveira;93.980.146/0001-45;Caixa Econômica Federal;2158c6a4-998b-4db3-9778-94e39bbb1ddb;Chave Aleatória;Pagamento referente ao serviço 310;Pendente;0
0125792c-939f-4878-bb1b-2f8f4cdb2a88;2025-07-07 11:48:56;3379.78;BRL;Sra. Julia Moreira;70.182.640/0001-49;Caixa Econômica Federal;Lavínia Moura;46.425.668/0001-35;Nubank;ad6c87de-c7cf-462f-881e-ad9f1ea16b80;Chave Aleatória;Pagamento referente ao serviço 470;Pendente;0
0c32ab22-a3d5-4c73-b0c3-5d557ee54146;2025-07-27 16:25:56;2593.62;BRL;Breno Moura;52.806.673/0001-69;Nubank;Francisco Caldeira;968.804.835-57;Banco Original;59.422.362/0001-39;CNPJ;Pagamento referente ao serviço 263;Concluída;0
a468f6ce-6b9c-4c0b-8e59-9297e13a152f;2025-07-30 03:25:56;1779.9;BRL;Isis Melo;50.829.215/0001-67;Caixa Econômica Federal;Leonardo da Conceição;579.265.267-14;Banco Original;user364@email.com;E-mail;Pagamento referente ao serviço 488;Pendente;0
d3505aab-9ade-4b4d-83fb-f894e570dce3;2025-08-11 08:36:56;416.66;BRL;Eduarda Azevedo;56.463.678/0001-75;Banco Safra;Luigi da Luz;584.119.561-50;Itaú Unibanco;user797@email.com;E-mail;Pagamento referente ao serviço 311;Pendente;0
ded3d33f-544e-4457-8e6f-f266ad9cd62a;2025-07-19 06:28:56;4210.2;BRL;Samuel da Rocha;487.784.266-55;Banco Inter;João Vitor da Conceição;359.605.277-99;Santander Brasil;31.986.815/0001-77;CNPJ;Pagamento referente ao serviço 926;Concluída;0
fbd3a996-86b9-4be6-a75e-51a70ba7feec;2025-07-27 04:02:56;3125.02;BRL;Pedro Henrique Gomes;176.593.516-74;Banco Original;Theo Costa;857.756.626-99;C6 Bank;62.815.418/0001-96;CNPJ;Pagamento referente ao serviço 93;Estornada;0
eb656d1e-62d9-429d-8eca-a56ffee54e9c;2025-07-04 06:13:56;4994.08;BRL;Pedro Miguel Costela;320.573.309-67;Santander Brasil;Pedro Henrique Costela;758.894.133-43;Nubank;user272@email.com;E-mail;Pagamento referente ao serviço 816;Estornada;0
726e145c-6e45-4d6f-b2f6-6027765088fe;2025-08-14 16:49:56;4350.88;BRL;Luiz Gustavo da Conceição;558.609.200-12;Caixa Econômica Federal;Beatriz Viana;328.139.381-25;Itaú Unibanco;a742e2f4-a640-41c1-a12e-0e97dc99155c;Chave Aleatória;Pagamento referente ao serviço 743;Concluída;0
2012959b-d2c2-411a-8f3e-5153c44079f6;2025-07-30 19:31:56;1645.32;BRL;Eduarda Melo;294.515.865-43;Banco Inter;Joana Nascimento;52.248.484/0001-52;C6 Bank;+555498085-8688;Telefone;Pagamento referente ao serviço 169;Concluída;0
637fea99-2581-4f59-95d2-007a41aad9c5;2025-07-06 17:15:56;4332.17;BRL;Milena Santos;60.343.879/0001-16;BTG Pactual;Sr. Ryan Viana;41.735.234/0001-15;Caixa Econômica Federal;68.446.745/0001-49;CNPJ;Pagamento referente ao serviço 936;Pendente;0
c6f19133-e4ff-4e27-b068-433e6ff9311c;2025-07-11 20:47:56;3999.59;BRL;Alana Carvalho;76.624.464/0001-30;Banco do Brasil;Stella Novaes;28.904.563/0001-61;Itaú Unibanco;user189@email.com;E-mail;Pagamento referente ao serviço 466;Pendente;0
0e2a4aac-7307-437b-a076-dfc1756cf692;2025-08-01 20:56:56;3661.57;BRL;Lucas Gabriel Carvalho;61.497.486/0001-91;Banco Inter;Sr. Cauã Viana;24.125.854/0001-66;BTG Pactual;user85@email.com;E-mail;Pagamento referente ao serviço 872;Pendente;0
a23a9675-e0ae-46a2-848a-914b23325a92;2025-07-28 07:22:56;758.4;BRL;Sra. Cecília Lima;27.420.762/0001-63;Banco do Brasil;Emanuel da Luz;97.724.806/0001-52;Bradesco;+553295850-6405;Telefone;Pagamento referente ao serviço 956;Estornada;0
3a88bbb6-1cd8-42df-9d49-087878a99a6b;2025-08-15 19:58:56;3847.11;BRL;Isabel Campos;81.706.703/0001-10;Banco Original;João Gonçalves;53.576.147/0001-65;Banco Pan;67045362-6591-47b9-a251-bbd4e75354c4;Chave Aleatória;Pagamento referente ao serviço 512;Concluída;0
0e0ac3c9-41ed-41b8-b815-f47e57110b55;2025-07-04 13:32:56;2614.53;BRL;Henrique Gomes;111.412.802-51;Caixa Econômica Federal;Maria Cecília Santos;81.389.755/0001-42;Caixa Econômica Federal;74.457.746/0001-10;CNPJ;Pagamento referente ao serviço 989;Estornada;0
d3b2e7a4-20ef-4e78-b051-45bcaf1bb836;2025-07-16 07:19:56;890.82;BRL;Isabella Gonçalves;10.698.706/0001-63;Nubank;Sra. Elisa da Mata;87.160.654/0001-70;Banco do Brasil;user711@email.com;E-mail;Pagamento referente ao serviço 498;Concluída;0
cae5157b-a43b-4e64-9eea-29892cf51dbb;2025-07-22 06:42:56;305.28;BRL;Sra. Marina Gomes;37.572.166/0001-42;Santander Brasil;Paulo Viana;51.447.703/0001-77;Banco Original;+559596478-4314;Telefone;Pagamento referente ao serviço 728;Pendente;0
58117874-bd5e-4d70-8d73-b79201adb16c;2025-07-09 03:36:56;2175.38;BRL;Maria Carvalho;157.357.408-78;Santander Brasil;Vicente Teixeira;271.611.496-10;Banco Safra;982.242.358-51;CPF;Pagamento referente ao serviço 482;Estornada;0
6990fa1d-c867-4cca-95f9-95cd7095d9a8;2025-07-05 16:45:56;1609.66;BRL;Dr. Emanuel Silveira;768.270.944-86;BTG Pactual;Maitê Souza;23.667.607/0001-23;C6 Bank;user994@email.com;E-mail;Pagamento referente ao serviço 61;Estornada;0
5116e86b-76fc-48b1-b89c-b8bb55cd3e52;2025-07-12 12:07:56;891.08;BRL;Diego da Cruz;94.347.269/0001-96;Santander Brasil;Manuela Fernandes;49.974.356/0001-41;Caixa Econômica Federal;39.682.960/0001-52;CNPJ;Pagamento referente ao serviço 149;Concluída;0
b4951e0c-bd6c-457f-a705-00cffe06b730;2025-08-07 22:04:56;512.86;BRL;Lucca Moura;45.807.367/0001-32;Caixa Econômica Federal;Pedro Henrique Mendes;91.901.454/0001-72;BTG Pactual;user238@email.com;E-mail;Pagamento referente ao serviço 794;Concluída;0
b07dcbeb-dcf9-4a25-8891-4ad8c63acbc1;2025-07-17 14:22:56;4780.28;BRL;Gustavo Vieira;309.434.707-45;Itaú Unibanco;Dr. Enzo Ramos;458.401.665-99;C6 Bank;user409@email.com;E-mail;Pagamento referente ao serviço 951;Concluída;0
ac52acfa-2796-40b9-91ee-bdc63d6794e7;2025-08-07 00:53:56;1045.76;BRL;Ana Carolina Silva;19.675.464/0001-91;Santander Brasil;Renan Ramos;468.389.358-97;Nubank;313.772.321-54;CPF;Pagamento referente ao serviço 699;Concluída;0
524e6690-e9ab-4107-b135-209cef7b3080;2025-08-18 05:12:56;2026.32;BRL;Levi Martins;786.331.193-82;Banco Safra;Mariana Silva;372.420.574-69;Banco Pan;cd02d005-e410-4d4e-b342-ab7395db3dd3;Chave Aleatória;Pagamento referente ao serviço 66;Pendente;0
ea8b961e-49c8-48d6-8ff3-8cf64a05e77a;2025-07-17 18:26:56;4203.46;BRL;Srta. Luana Rocha;38.587.155/0001-65;Bradesco;Vitor Hugo Santos;26.512.327/0001-77;BTG Pactual;904a9ce9-a4c6-4264-89c0-2173af655866;Chave Aleatória;Pagamento referente ao serviço 757;Pendente;0
ceb29f6a-a89a-40dc-a562-f49ec9b8d93c;2025-08-11 23:33:56;1002.9;BRL;Dr. Luiz Henrique Costa;78.287.382/0001-73;Nubank;Sr. Lucas Gabriel Nascimento;55.456.834/0001-10;Banco Pan;22.119.233/0001-69;CNPJ;Pagamento referente ao serviço 522;Pendente;0
ad07a667-932d-483a-82c7-aaf8009ab71f;2025-07-26 03:16:56;1967.14;BRL;Maria Sophia Campos;72.777.241/0001-91;Banco Inter;Elisa Rezende;142.167.724-95;BTG Pactual;user356@email.com;E-mail;Pagamento referente ao serviço 648;Estornada;0
c3e16d40-31e2-49d0-8ee2-3803814894e6;2025-06-29 12:37:56;376.94;BRL;Letícia Rocha;71.623.750/0001-78;Banco Pan;Mariana das Neves;84.311.506/0001-19;Caixa Econômica Federal;+556495185-2670;Telefone;Pagamento referente ao serviço 290;Estornada;0
db2fff90-1280-4c11-a2ab-175230781f32;2025-06-28 19:17:56;4901.08;BRL;Dr. Luigi Almeida;97.731.447/0001-22;C6 Bank;Sofia Silveira;840.791.660-33;Banco Original;41.671.980/0001-85;CNPJ;Pagamento referente ao serviço 636;Estornada;0
f9a56caa-2601-4c60-8ecc-833279353cab;2025-07-05 05:38:56;3723.31;BRL;Emilly Costela;118.262.248-63;Banco Inter;Helena Santos;21.448.707/0001-41;Banco Pan;966.808.381-18;CPF;Pagamento referente ao serviço 915;Concluída;0
4f328d46-7734-4de7-bf41-241bff200908;2025-08-02 15:19:56;4707.56;BRL;Alexia Gomes;671.178.816-46;Banco Inter;Noah Silveira;34.969.276/0001-34;Caixa Econômica Federal;18.901.291/0001-58;CNPJ;Pagamento referente ao serviço 770;Estornada;0
846771a9-d358-4e0e-82ad-9d4692d7bfed;2025-07-11 06:29:56;2017.28;BRL;Joaquim Oliveira;498.624.682-68;Itaú Unibanco;Dra. Bruna Cavalcanti;105.577.461-70;Santander Brasil;+551398710-4663;Telefone;Pagamento referente ao serviço 679;Pendente;0
125b4559-6085-4060-bc92-dd3b7f251acb;2025-06-21 05:45:56;4619.46;BRL;Breno Costa;493.657.710-78;Banco Pan;Lívia Castro;62.758.653/0001-93;Banco Safra;user346@email.com;E-mail;Pagamento referente ao serviço 838;Estornada;0
5d98211d-5b1e-4331-a1d4-c9ae96153126;2025-08-18 05:34:56;2918.03;BRL;Sr. Danilo Teixeira;51.133.395/0001-53;Banco Original;Sophie Viana;57.214.655/0001-45;Bradesco;93.509.576/0001-80;CNPJ;Pagamento referente ao serviço 416;Concluída;0
e8879211-1fb1-42ee-b43d-3357f3dbcb84;2025-06-30 07:54:56;1283.06;BRL;Rafaela Fogaça;442.230.845-94;Nubank;Stephany Porto;417.464.296-16;Santander Brasil;0ead1324-3172-4537-968a-25e6e62087d7;Chave Aleatória;Pagamento referente ao serviço 366;Estornada;0
3df5acb1-6c6e-4378-b3b3-7562f6c2338b;2025-07-01 10:49:56;2837.12;BRL;Letícia Campos;678.129.820-14;Banco Original;Breno Rocha;37.501.553/0001-58;C6 Bank;865.574.990-45;CPF;Pagamento referente ao serviço 905;Estornada;0
3d116320-a333-4711-a639-db3938896f46;2025-07-10 00:07:56;48.59;BRL;Srta. Agatha Campos;52.953.828/0001-61;BTG Pactual;Luiz Henrique Melo;199.455.552-59;Itaú Unibanco;57adf089-dbdc-47f7-a7e6-f092fddb8fd7;Chave Aleatória;Pagamento referente ao serviço 610;Concluída;0
f7ec117f-2ede-4bfe-8075-5768bb2d6f92;2025-07-31 20:17:56;3855.27;BRL;Melissa Fogaça;866.395.639-59;C6 Bank;Melissa Barbosa;82.148.224/0001-24;BTG Pactual;+557894290-9893;Telefone;Pagamento referente ao serviço 187;Pendente;0
557ccf81-e26a-43d9-adb4-c22282870016;2025-08-03 10:24:56;3161.3;BRL;Francisco Nunes;96.903.714/0001-86;Banco Inter;Giovanna Nogueira;85.962.485/0001-54;Banco Pan;user452@email.com;E-mail;Pagamento referente ao serviço 225;Pendente;0
f41b568d-dd17-4546-9595-760ddddd11d6;2025-08-20 05:35:56;2662.9;BRL;Danilo Teixeira;386.259.342-75;Banco Original;Enrico Souza;18.881.232/0001-42;Banco do Brasil;user402@email.com;E-mail;Pagamento referente ao serviço 492;Concluída;0
1b59aeca-3f23-4c5e-b9c8-879054153f85;2025-06-24 10:28:56;759.59;BRL;Vitória Freitas;238.456.389-56;Bradesco;Giovanna Nunes;21.357.982/0001-75;BTG Pactual;+556293861-2902;Telefone;Pagamento referente ao serviço 340;Concluída;0
aafd6105-e5a2-4d0a-9108-68b9b8dc6dcf;2025-06-21 19:23:56;235.07;BRL;Dr. Luiz Miguel Costela;615.449.589-49;Banco Pan;Marcela Campos;668.508.103-50;Banco Pan;user756@email.com;E-mail;Pagamento referente ao serviço 984;Concluída;0
9f70bd7f-9d28-414d-af24-133926abc758;2025-08-11 11:11:56;3286.87;BRL;João Gabriel Caldeira;673.659.413-15;Banco Original;Srta. Laís Nogueira;687.306.447-12;Bradesco;52adf249-0ee3-42d1-9514-2fbd873cc53d;Chave Aleatória;Pagamento referente ao serviço 722;Pendente;0
49de2d40-1ef1-4e21-93ea-329d6b6313db;2025-08-11 17:34:56;219.81;BRL;Fernanda Sales;44.380.123/0001-72;Caixa Econômica Federal;Maysa Gomes;72.545.978/0001-21;Caixa Econômica Federal;user849@email.com;E-mail;Pagamento referente ao serviço 355;Pendente;0
daf829de-f04b-46eb-87cb-440ee7a1a7f1;2025-07-25 12:36:56;4726.47;BRL;Cauã Ribeiro;781.227.640-39;Banco Original;Marina Araújo;58.522.887/0001-19;Nubank;+557997121-1242;Telefone;Pagamento referente ao serviço 547;Concluída;0
ccdcec6a-4b23-4483-9de2-2ae840104f25;2025-08-18 03:35:56;1371.49;BRL;Luiz Fernando Moraes;14.911.879/0001-81;Banco Inter;Alexandre Campos;63.227.774/0001-71;BTG Pactual;685.102.335-12;CPF;Pagamento referente ao serviço 827;Pendente;0
80ec421c-b1cd-4249-a8d5-5791e7118956;2025-07-01 13:39:56;4226.06;BRL;Gabriela Barros;100.989.781-99;Nubank;Manuela Sales;30.903.791/0001-18;Caixa Econômica Federal;+557794218-9201;Telefone;Pagamento referente ao serviço 602;Estornada;0
858a4d09-b2fd-4401-88a5-689d74c6d073;2025-07-31 20:28:56;16.17;BRL;Murilo Souza;775.703.302-50;Bradesco;Samuel Jesus;282.354.750-70;Bradesco;486.880.433-68;CPF;Pagamento referente ao serviço 850;Concluída;0
baa0d1ca-9ee1-4d67-8bed-3662208f9603;2025-07-22 16:34:56;1377.71;BRL;Kamilly Fogaça;18.273.361/0001-77;Banco Inter;Antônio Nunes;11.421.924/0001-26;Banco Safra;+554991903-2146;Telefone;Pagamento referente ao serviço 849;Concluída;0
eef9783e-26ba-49b2-8906-806c1adba4db;2025-06-26 10:22:56;680.25;BRL;Joaquim Teixeira;67.694.691/0001-57;Banco Inter;Raul Duarte;492.182.984-66;C6 Bank;85.214.341/0001-85;CNPJ;Pagamento referente ao serviço 75;Pendente;0
1c4e5bb6-57a1-441c-9f86-835ab4c92889;2025-06-25 04:35:56;4108.35;BRL;Sr. Isaac Campos;947.273.231-47;Nubank;Mariana Mendes;607.645.297-12;Banco Pan;716.555.995-49;CPF;Pagamento referente ao serviço 135;Pendente;0
4705f40a-ee89-4bc0-a3cd-04377e048a40;2025-07-19 10:55:56;1479.82;BRL;Dr. Igor da Cunha;773.383.197-94;Caixa Econômica Federal;Murilo Pires;11.543.589/0001-66;Banco do Brasil;184.200.658-99;CPF;Pagamento referente ao serviço 248;Concluída;0
c271279e-b205-45ba-9a60-bdbbe43fbc81;2025-07-18 02:33:56;3297.2;BRL;Luiz Otávio Costela;898.528.694-80;Banco Original;Luiz Fernando Peixoto;124.130.913-96;Bradesco;866.430.905-43;CPF;Pagamento referente ao serviço 314;Pendente;0
cac30132-bf79-4979-a96d-0e0f15dbb2ab;2025-07-16 11:40:56;4164.85;BRL;Danilo Porto;90.619.848/0001-60;Banco Safra;Catarina Souza;425.673.476-41;Itaú Unibanco;user612@email.com;E-mail;Pagamento referente ao serviço 966;Concluída;0
